sentence_en,sentence_xx,language
Then ceased the work of the house of God which is at Jerusalem. So it ceased unto the second year of the reign of Darius king of Persia.,ତେଣୁ ୟିରୁଶାଲମ ରେ ପରମେଶ୍ବରଙ୍କ ମନ୍ଦିରକାର୍ୟ୍ଯ ବନ୍ଦ ହେଲା। ପୁଣି ପାରସ୍ଯ ରାଜା ଦାରିଯାବସର ଅଧିକାରର ଦ୍ବିତୀୟ ବର୍ଷ ପର୍ୟ୍ଯନ୍ତ ତାହା ବନ୍ଦ ହାଇେ ରହିଲା।,or
Condolences to the bereaved families.,ଶୋକସନ୍ତପ୍ତ ପରିବାରବର୍ଗଙ୍କୁ ସମବେଦନା।,or
A local informed the police.,ଥାନାରେ ଏତଲା ଦେଲେ ସ୍ଥାନୀୟ ସରପଞ୍ଚ ।,or
Forget all this.,ମନେ ରଖନ୍ତୁ ଏହି ସବୁ କଥା ।,or
"Incessant rains have resulted in widespread flooding in Southern Maharashtra, Karnataka, and Northern Kerala.","ପ୍ରବଳ ବର୍ଷାଯୋଗୁଁ ଉତ୍ତର, ମଧ୍ୟ ଏବଂ ଉପକୂଳ କର୍ଣ୍ଣାଟକରେ ଅବସ୍ଥା ସାଂଘାତିକ ହୋଇପଡ଼ିଛି।",or
the Chief Minister said in a tweet.,ମୁଖ୍ୟମନ୍ତ୍ରୀ ଟୁଇଟ୍ କରି ଏହା ଜଣାଇଛନ୍ତି।,or
A special investigation committee has been formed to look into the matter.,ସେପଟେ ଏହି ଘଟଣାର ତଦନ୍ତ ପାଇଁ ସ୍ୱତନ୍ତ୍ର କମିଟି ଗଠନ ହୋଇଛି।,or
This was informed by the Odisha Health and Family Welfare Department.,ଏନେଇ ସୂଚନା ଦେଇଛି ରାଜ୍ୟ ସ୍ବାସ୍ଥ୍ୟ ଓ ପରିବାର କଲ୍ୟାଣ ବିଭାଗ ।,or
The bus driver and conductor however managed to escape after the accident.,ଅନ୍ୟପକ୍ଷରେ ଏହି ଦୁର୍ଘଟଣା ପରେ ବସ୍‌ ଡ୍ରାଇଭର ଓ ହେଲପର୍‌ ଫେରାର୍ ହୋଇଯାଇଛନ୍ତି।,or
Finally the truck overturned.,ଶେଷରେ ଟ୍ରକ୍‌ଟି ମଧ୍ୟ ରାସ୍ତା ତଳକୁ ଓଲଟି ପଡ଼ିଥିଲା।,or
The entire amount has been donated to the Chief Minister's Relief Fund.,ସମସ୍ତ ଟଙ୍କା ସେ ପ୍ରଧାନମନ୍ତ୍ରୀ ରିଲିଫ ପାଣ୍ଠିକୁ ଦାନ କରିଛନ୍ତି ।,or
There is no problem in the Indian team.,ଭାରତୀୟ ଦଳ ପାଇଁ ଚିନ୍ତାର କାରଣ ନାହିଁ ।,or
Answer: Russian,ଉତ୍ତର: ରୁଷ,or
The police also fired on them in retaliation.,ଜବାବରେ ପୋଲିସ ମଧ୍ୟ ସେମାନଙ୍କ ଉପରକୁ ଗୁଳି ଚଳାଇଥିଲା।,or
The police are looking for the thieves.,ଲୁଟେରାଙ୍କୁ ଖୋଜୁଛି ପୋଲିସ୍ ।,or
"Brothers and sisters, central government has been working along with the state government to accomplish this task and we have been taking forward the schemes and implementing them on the ground.","ଭାଇ ଓ ଭଉଣୀମାନେ, ଏବଂ ଏହି ମିଶନ ସହିତ କେନ୍ଦ୍ର ସରକାର ରାଜ୍ୟ ସରକାରଙ୍କ ସହିତ ମିଶି ଆମେ କାମକୁ ଆଗେଇ ନେଉଛୁ, ଭୂମିରେ କାର୍ଯ୍ୟକାରୀ କରୁଛୁ ।",or
Many people are still being trapped in the truck.,ବସରେ ବର୍ତ୍ତମାନ ମଧ୍ୟ ଅନେକ ଲୋକ ଫସିରହିଛନ୍ତି।,or
The people are frustrated.,ଲୋକେ ନାହିଁ ନଥିବା ହଇରାଣ ହେଉଛନ୍ତି ।,or
